Álbum,Título,Letra
Yendo De La Cama Al Living,Yendo De La Cama Al Living,"Podés pasear en limousine, cortar las flores del jardín
Podés cambiar el sol y esconderte si no quieres verme
Puedes ver amanecer con caviar desde un hotel
Y no tienes un poquito de amor para dar

Yendo de la cama al living
Sientes el encierro
Yendo de la cama al living

Podés saltar de un trampolín, batir un record en patín
Podés hacer un gol y podés llevar tu nombre al cielo
Puedes ser un gran campeón, jugar en la Selección
Y no tienes un poquito de amor para dar

Yendo de la cama al living
Sientes el encierro
Yendo de la cama al living

Oh, no, no, no
No hay ninguna vibración
Aunque vives en un mundo de cine
No hay señales de algo que vive en mí

Voy yendo de la cama hasta el living
Siento el encierro
Voy yendo de la cama hasta el living

Y te digo
Tu-ru-tu-ru-tu-ru, tu-ru-tu-ru-tu-ra, tu-ru-tu-ru-tu-ra
Tu-ru-tu-ru-tu-ru, tu-ru-tu, yeah"
Yendo De La Cama Al Living,Superhéroes,"Estás buscando direcciones en libros para cocinar
Estás mezclando el dulce con la sal
Vas procurando informaciones en unas cajas de metal
Estás comprando al mundo en un bazar

Mirando su-u-u-perhéroes
Su-u-u-perstars
Te sientes su-u-u-per loca
Sú-ú-ú-per mal, súper mal

Veo las sirvientas en la plaza, vestidas para enamorar
Viviendo cien años de soledad
No pasa nada, nadie pasa, sólo una banda militar
Desafinando el tiempo y el compás

Entonces mírame a mí, tratando que se muevan esos pies
Bajo la luz, tocando hasta el amanecer
No te quedés en casa porque el baile va a empezar
Quiero verte, verte otra vez

Hay un horrible monstruo con peluca (Hay un horrible monstruo con peluca)
Que es dueño, en parte, de esta ciudad de locos (Que es dueño, en parte, de esta ciudad de locos)
Hace que baila con la banda en la ruta
Pero en verdad les roba el oro y les da unas prostitutas

Estás limpiando las cenizas de nuestro breve carnaval
Ya estamos en camino a otra ciudad
Ya ves no somos ni turistas ni artistas de sonrisa y frac
Formamos parte de tu realidad

Por eso estamos aquí, tratando que se muevan éstos pies
Bajo la luz, tocando hasta el amanecer
No te quedés en casa porque el baile va a empezar
Quiero verte, verte otra vez"
Yendo De La Cama Al Living,No Bombardeen Buenos Aires,"Comunicado 234
Estamos ganando
Seguimos ganando
Jajaja
Jajaja

No bombardeen Buenos Aires, no nos podemos defender
Los pibes de mi barrio se escondieron en los caños
Espían al cielo, usan cascos, curten mambos
Escuchando a Clash, escuchando a Clash
¡Sandinista!

Estoy temiendo al rubio ahora, no sé a quién temeré después
Terror y desconfianza por los juegos
Por las transas, por las canas, por las panzas, por las ansias
Por las rancias cunas de poder, cunas de poder (Cunas de poder)

Si querés escucharé a la B.B.C
Aunque quieras que lo hagamos de noche
Y si quieres darme un beso alguna vez
Es posible que me suba a tu coche
Pero no bombardeen Buenos Aires

(Ay, tengo miedo y estoy en la cama, no quiero salir porque me van a tirar una bomba)

No quiero el mundo de Cinzano, no tengo que perder la fe
Quiero treparte pero no pasa nada
Ni siquiera puedo comerme un bife y sentirme bien
(Y sentirme bien; ¡tengo hambre!, tengo hambre, tengo miedo)

Los gurkhas siguen avanzando, los viejos siguen en T.V
Los jefes de los chicos toman whisky con los ricos
Mientras los obreros hacen masa
En la Plaza como aquella vez, como aquella vez

Si querés escucharé a la B.B.C
Aunque quieras que lo hagamos de noche
Y si quieres darme un beso alguna vez
Es posible que me suba a tu coche
¡Pero no bombardeen Barrio Norte!
(¡Wooh!)

¡Buenos Aires!
¡Buenos Aires!
¡Buenos Aires!
No bombardeen Buenos Aires
No bombardeen Buenos Aires
No bombardeen Buenos Aires
No bombardeen Bueno—"
Yendo De La Cama Al Living,Vos También Estabas Verde,"Vuela un jet hacia el sur
La cósmica cintura es el folklórico ataúd de un DC-10
Que se hace estrellas contra el suelo

Hoy estoy como un jet
Perdido entre las nubes
Sin señales para ver a dónde estoy
Pero mi corazón no es ciego

Puedo subir al cielo
Puedo vivir haciendote el amor
Pero me voy

Otro whisky y ya van mil
Yo me pregunto entonces
Si aún estarías aquí cuando yo no era nadie
Y no tenga plata en el bolsillo

La nostalgia, aquí otra vez
No entiendo los que hacen lo mismo que yo hice ayer
Pero como hasta ahí nomás
Como viviendo en el pasado

Hmm, me escapé sin pensar
Escuché a los Beatles
Y me fui a buscar la soledad
Y vos también estabas verde

Puedo subir al cielo
Puedo morir haciendote el amor
Pero me voy
Pero me voy"
Yendo De La Cama Al Living,Yo No Quiero Volverme Tan Loco,"Si esto no es el rock, ¿el rock dónde está?

Yo no quiero volverme tan loco
Yo no quiero vestirme de rojo
Yo no quiero morir en el mundo hoy
Yo no quiero ya verte tan triste
Yo no quiero saber lo que hiciste
Yo no quiero esta pena en mi corazón

Escucho el beat de un tambor entre la desolación
De una radio en una calle desierta
Están las puertas cerradas y las ventanas también
¿No será que nuestra gente está muerta?

Presiento el fin de un amor en la era del color
La televisión está en las vidrieras
Toda esa gente parada que tiene grasa en la piel
No se entera ni que el mundo da vueltas

Yo no quiero meterme en problemas
Yo no quiero asuntos que queman
Yo tan sólo les digo que es un bajón
Yo no quiero sembrar la anarquía
Yo no quiero vivir como digan
Tengo algo que late en mi corazón

Escucho un tango y un rock, y presiento que soy yo
Y quisiera ver al mundo de fiesta
Veo tantas chicas castradas y tantos tontos que al fin
Yo no sé si vivir tanto les cuesta

Yo quiero ver muchos más delirantes por ahí
Bailando en una calle cualquiera
En Buenos Aires se ve que ya no hay tiempo de más
La alegría no es sólo brasilera (No, mi amor)

Yo no quiero vivir paranoico
Yo no quiero ver chicos con odio
Yo no quiero sentir esta depresión
Voy buscando el placer de estar vivo
No me importa si soy un bandido
Voy pateando basura en el callejón

Yo no quiero volverme tan loco
Yo no quiero vestirme de rojo
Yo no quiero morir en el mundo hoy
Yo no quiero ya verte tan triste
Yo no quiero saber lo que hiciste
Yo no quiero esta pena en mi corazón
Yo no quiero esta pena en mi corazón

Yo nunca quise estar loco
Yo creo que todo es una mentira
Yo no quiero
Yo no quiero
Yo quiero
Yo no
Yo quiero..."
Yendo De La Cama Al Living,Canción de Dos por Tres,"No tengo nada que hacer
No tengo nada que dar
No encuentro la magia en mi manera de hablar
No quiero volver nunca más

Todos podemos perder, todos podemos ganar
Entre las sogas del circo y las trincheras del mal
No quiero olvidarme de hablar

Las pálidas figuras se acercaron hasta mí
Mi mente tuvo dudas y fingí que no las ví

Ya no quiero vivir así
Repitiendo las agonías del pasado
Con los hermanos de mi niñez, es muy duro sobrevivir
Aunque el tiempo ya los ha vuelto desconfiados

Tenemos algo para decir

No es la misma canción de dos por tres
Las cosas ya no son como las ves"
Yendo De La Cama Al Living,Peluca Telefónica,"- ¿Ese es tu walkman?
- Qué moderno que es (...)
Todo muy superado, muy liberal

No le debo nada a Entel
Me cuido la nariz (Teléfono)
El silencio termina mañana
Me voy a despedir (Chau)

El tiempo que yo soñé
Es la eternidad, es la dulce fe
De que sigas conmigo por siempre
Por siempre por aquí

Y cuando encuentro un amigo
Lo tengo que buscar
Y voy al supermercado (-ado, -ado, -ado, -ado)
Buscando un capataz

El sueño que yo soñé
Es la humanidad, es la humanidad
El poeta tenía razón
La balsa hay que tomar

- Estoy viviendo aquí en este mundo abandonado
- ¿Te alcanza la renta?
- No, ¿a quién?, ¡ah-uh!

Córtenla
Déjennos vivir en paz
Sáquenla
Sáquenla un poquito, sáquenla un poquito

Cuando vuelvo a mi casa temprano (-prano)
Me tengo que tomar (Tomar, tomar, tomar)
Un litro de vino prestado (-ado, -ado)
Que no pienso pagar

El día de estoy aquí
Es amanecer, es poder creer
Y mirar tus ojos de nave
Viajando hacia mí

- Oye, oye, pana; mira, pero, ¿cómo te traes esta vaina que no lo puedo creer? Mira
- Oye, brother, ¿tienes perico?
- Oye, ahorita mismo, pues tú sabe'
- Eso es lo que queremos y no otra cosa. Máximo nivel
- Todo muy liberal, yendo por Santa Fe, escuchando buena música, muy FM
- ¿Tiene pilas?

Telefón
Tirate ya del trampolín
Papelón
Sacate la gomina, pelá sin brillantina

Ya no tengo monedas de nylon
Perdí mi peluquín (Jajaja)
Me sigo pavimentando
Y llegaré hasta el fin

Aaa-lee-gríí-aa

Quiero ver tu foto en los diarios (¡O-ri-o-ri-e-a!)
Riéndote porque—"
Yendo De La Cama Al Living,Inconsciente Colectivo,"Nace una flor, todos los días sale el sol
De vez en cuando escuchas aquella voz
Como de pan, gustosa de cantar
En los aleros de la mente con las chicharras
Pero a la vez existe un transformador
Que se consume lo mejor que tenés
Te tira atrás, te pide más y más
Y llega un punto en que no querés

Mama la libertad, siempre la llevarás
Dentro del corazón
Te pueden corromper, te puedes olvidar
Pero ella siempre está


Mama la libertad, siempre la llevarás
Dentro del corazón
Te pueden corromper, te puedes olvidar
Pero ella siempre está

Ayer soñé con los hambrientos, los locos
Los que se fueron, los que están en prisión
Hoy desperté cantando esta canción
Que ya fue escrita hace tiempo atrás
Es necesario cantar de nuevo
Una vez más

(Buenas noches, felices sueños)"
Clics Modernos,Nos Siguen Pegando Abajo,"Ella es menor, él es normal
Y lo que están haciendo es un pecado mortal
Ella se quedó sin boda ni arroz
Y al novio lo agarraron entre muchos, más que dos

Miren, lo están golpeando todo el tiempo
Lo vuelven, vuelven a golpear
Nos siguen pegando abajo

Yo estaba en un club, no había casi luz
La puerta de salida tenía un farolito azul
Él se desmayó delante de mí
No fueron las pastillas, fueron los hombres de gris

Miren, lo están golpeando todo el tiempo
Lo vuelven, vuelven a golpear
Nos siguen pegando abajo

Fa-ra-fa-dan-dun-dan-na-na-na-na-na
Da-ra-da-da-na-na-na-na-na
Fa-ra-fa-dan-dun-dan-na-na-na-na-na
Da-ra-da-da-na-na-na-na-na

Ma, ma, ma, estoy yéndome
Soy como una luz apagándose
Desde el piso, los pude ver
Locos de placer, alejándose

Miren, lo están golpeando todo el tiempo
Lo vuelven vuelven a golpear
Nos siguen pegando abajo"
Clics Modernos,No Soy un Extraño,"Acabo de llegar, no soy un extraño
Conozco esta ciudad, no es como en los diarios desde allá
Dos tipos en un bar se toman las manos
Prenden un grabador y bailan un tango de verdad

Y yo los miro sin querer mirar
Enciendo un faso para despistar
Me quedo piola y empiezo a pensar
Que no hay que pescar dos peces con la misma red

Acabo de mirar las luces que pasan
Acabo de cruzar la plaza, las razas y el color

Y siento un humo como familiar
Alguien se acerca y comienza a hablar
Me quedo piola y digo: “¿Qué tal?
¿Vamos a pescar dos peces con la misma red?”
Desprejuiciados son los que vendrán
Y los que están ya no me importan más:
Los carceleros de la humanidad
No me atraparán dos veces con la misma red"
